"Delete","ServiceName","ServiceID","FuncType","FuncTypeID","FuncName","Memo"
"","User","U","DataBase","DB","users","アプリ利用者のプロフィール・認証基礎情報（UUID 主キー・ユーザ名・最終ログインなど）"
"","Dish","D","DataBase","DB","dish_categories","Wikidata 由来の料理カテゴリーマスター。多言語ラベル・起源国・上位タグを保持"
"","Dish","D","DataBase","DB","dish_category_variants","料理カテゴリに対する表記揺れ辞書（かな・ローマ字・俗称）。検索リコメンド用"
"","Dish","D","DataBase","DB","dishes","実店舗で提供される具体的な料理 1 品のマスター。カテゴリ・店舗 FK を保持"
"","Dish","D","DataBase","DB","dish_media","ユーザが投稿した料理写真 / 動画メタデータ（ストレージパス・メディア種別など）"
"","Dish","D","DataBase","DB","dish_media_likes","ユーザの “いいね” アクションを記録する中間テーブル（dish_media × user）"
"","Dish","D","DataBase","DB","dish_media_analysis_results","各料理メディア（写真・動画）の累積パフォーマンス指標を保持する集計テーブル。インプレッション・視聴数・スキップ数・完了視聴数などの合計値を保存し、率は都度計算する。dish_media に対して1対1の関係。"
"","Dish","D","DataBase","DB","dish_media_impressions","「表示（impression）」イベントを記録するログテーブル。どのメディアが、誰に、いつ、どの文脈（for_you・search・profile 等）で表示されたかを保持する。"
"","Dish","D","DataBase","DB","dish_media_views","「視聴（view）」イベントを記録するテーブル。各 impression に対して 0/1 の関係を持ち、視聴開始時刻、視聴時間（ms）、完了・スキップ状態、再視聴回数などを格納する。"
"","Dish","D","DataBase","DB","dish_reviews","料理レビュー本文・評価★・価格等を保持。全文検索用 tsvector を生成列で持つ"
"","Dish","D","DataBase","DB","restaurants","実店舗マスター。Google Place ID、緯度経度 Point、店名などを格納"
"","Billing","B","DataBase","DB","restaurant_bids","広告入札レコード。金額・期間・決済ステータスを管理"
"","Billing","B","DataBase","DB","payouts","入札額を投稿者へ分配する支払いレコード。Transfer ID・対象メディアを紐付け"
"","Notification","N","DataBase","DB","notifications","通知本体。アクション種別（LIKE/SAVE）、対象テーブル/ID、発火ユーザー（actor_id）、i18n_key/i18n_params、集約用 actor_ids/actor_count、idempotency_key、created_at を保持。主キーは UUID（v4）。"
"","Notification","N","DataBase","DB","notification_recipients","通知の受信者を保持する中間テーブル（notifications × users）。受信日時・既読カーソル算出の基準となる created_at を持つ。"
"","Notification","N","DataBase","DB","user_notification_cursors","各ユーザの通知既読カーソルを保持するテーブル。最後に既読とした日時（last_read_at）を記録し、未読数算出に利用される。"
"","Notification","N","DataBase","DB","user_device_tokens","ユーザの Expo Push トークンを保持するテーブル。1ユーザにつき複数端末トークンを保持し、プッシュ通知配信対象を決定する。更新日時・プラットフォーム情報を持つ。"
"","Common","C","DataBase","DB","reactions","ユーザーによるリアクション（例：いいね、やり直しなど）を記録するテーブル"
"","Common","C","DataBase","DB","frontend_event_logs","プロンプト育成における思想・トーン・目的ごとのファミリー定義を管理するテーブル
※JSON 形式で DBRO とする"
"","Common","C","DataBase","DB","external_api_logs","プロンプトファミリーごとの改善・育成履歴を管理するバリエーションテーブル
※JSON 形式で DBRO とする"
"","Common","C","DataBase","DB","backend_event_logs","プロンプトファミリー・バリエーションによる実際の生成結果と使用ログを記録するテーブル"
"","Common","C","DataBase","DB","prompt_families","フロントエンドで発生したユーザー操作・画面表示イベントなどを記録するログテーブル"
"","Common","C","DataBase","DB","prompt_variants","外部APIを Cloud Functions から呼び出す際のログ情報を記録するテーブル。
主にトラブルシュート／使用状況の可視化／パフォーマンス監視を目的とする。"
"","Common","C","DataBase","DB","prompt_usages","Cloud Functions 側での「アクションログ」や「内部イベントログ」を保存"
"","Common","C","DataBase","DB","config","アプリの動作に関わる設定値を保持するテーブル"
